Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
selectElementTo = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#toAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:25:53,13-05-2026 16:25:54,0.281s,PASSED
"setText(findTestObject(""Web/Transfer/txt_amount""), """")",Chrome 147.0.7727.138,,,13-05-2026 16:25:54,13-05-2026 16:25:54,0.569s,PASSED
options = selectElementFrom.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:25:54,13-05-2026 16:25:54,0.264s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:25:54,13-05-2026 16:25:54,0.053s,PASSED
"fromAccount = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:54,13-05-2026 16:25:54,0.008s,PASSED
selectElementFrom.selectByValue(fromAccount),Chrome 147.0.7727.138,,,13-05-2026 16:25:54,13-05-2026 16:25:55,0.303s,PASSED
optionsToAccount = selectElementTo.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:25:55,13-05-2026 16:25:55,0.270s,PASSED
optionsToAccount.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:25:55,13-05-2026 16:25:55,0.046s,PASSED
"toAccount = get(1).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:55,13-05-2026 16:25:55,0.010s,PASSED
selectElementTo.selectByValue(toAccount),Chrome 147.0.7727.138,,,13-05-2026 16:25:55,13-05-2026 16:25:55,0.328s,PASSED
"click(findTestObject(""Web/Transfer/btn_submit""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:55,13-05-2026 16:25:56,0.343s,PASSED
"waitForElementPresent(findTestObject(""Web/Transfer/lbl_failTransfer""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:56,13-05-2026 16:25:56,0.366s,PASSED
"verifyElementText(findTestObject(""Web/Transfer/lbl_failTransfer""), ""The amount cannot be empty."")",Chrome 147.0.7727.138,,,13-05-2026 16:25:56,13-05-2026 16:25:57,0.516s,FAILED
,,,,,,,
Test Cases/Web/Loan/TC-Loan_01-Request Loan,Chrome 147.0.7727.138,,,13-05-2026 16:25:57,13-05-2026 16:26:08,11.806s,PASSED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:57,13-05-2026 16:26:03,6.041s,PASSED
"click(findTestObject(""Web/Home/link_loan""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:03,13-05-2026 16:26:04,1.092s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:26:04,13-05-2026 16:26:04,0.005s,PASSED
selectElement = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#fromAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:26:04,13-05-2026 16:26:04,0.498s,PASSED
"setText(findTestObject(""Web/Loan/txt_loanAmount""), ""300"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:04,13-05-2026 16:26:05,0.618s,PASSED
"setText(findTestObject(""Web/Loan/txt_downPayment""), ""150"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:05,13-05-2026 16:26:06,0.607s,PASSED
options = selectElement.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:26:06,13-05-2026 16:26:06,0.267s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:26:06,13-05-2026 16:26:06,0.066s,PASSED
"firstValue = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:06,13-05-2026 16:26:06,0.011s,PASSED
selectElement.selectByValue(firstValue),Chrome 147.0.7727.138,,,13-05-2026 16:26:06,13-05-2026 16:26:06,0.299s,PASSED
"click(findTestObject(""Web/Loan/btn_submit""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:06,13-05-2026 16:26:07,0.343s,PASSED
"waitForElementPresent(findTestObject(""Web/Loan/lbl_statusLoan""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:26:07,13-05-2026 16:26:07,0.817s,PASSED
"verifyElementText(findTestObject(""Web/Loan/lbl_statusLoan""), ""Approved"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:07,13-05-2026 16:26:08,0.279s,PASSED
"takeScreenshot(screenshotPath + ""TC-01-getLoan.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:08,13-05-2026 16:26:08,0.359s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:26:08,13-05-2026 16:26:08,0.300s,PASSED
"println(""TC-loan-01 Request loan Pass -Berhasil request loan"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:08,13-05-2026 16:26:08,0.001s,PASSED
,,,,,,,
Test Cases/Web/FindTransfer/TC-FTR_01 ByAmount,Chrome 147.0.7727.138,,,13-05-2026 16:26:08,13-05-2026 16:26:20,11.335s,PASSED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:09,13-05-2026 16:26:15,6.311s,PASSED
"click(findTestObject(""Web/Home/link_findTransfer""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:15,13-05-2026 16:26:16,1.080s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:26:16,13-05-2026 16:26:16,0.002s,PASSED
selectElement = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#accountId))),Chrome 147.0.7727.138,,,13-05-2026 16:26:16,13-05-2026 16:26:16,0.399s,PASSED
options = selectElement.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:26:16,13-05-2026 16:26:17,0.268s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:26:17,13-05-2026 16:26:17,0.072s,PASSED
"firstValue = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:17,13-05-2026 16:26:17,0.008s,PASSED
selectElement.selectByValue(firstValue),Chrome 147.0.7727.138,,,13-05-2026 16:26:17,13-05-2026 16:26:17,0.302s,PASSED
"setText(findTestObject(""Web/FindTransf/txt_amount""), ""150"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:17,13-05-2026 16:26:18,0.620s,PASSED
"click(findTestObject(""Web/FindTransf/btn_findByAmount""))",Chrome 147.0.7727.138,,,13-05-2026 16:26:18,13-05-2026 16:26:18,0.329s,PASSED
"waitForElementPresent(findTestObject(""Web/FindTransf/tbl_result""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:26:18,13-05-2026 16:26:19,0.704s,PASSED
"verifyElementPresent(findTestObject(""Web/FindTransf/tbl_firstRow""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:26:19,13-05-2026 16:26:19,0.283s,PASSED
"takeScreenshot(screenshotPath + ""TC - FTR By Amount.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:19,13-05-2026 16:26:19,0.343s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:26:19,13-05-2026 16:26:20,0.336s,PASSED
"println(""TC-FTR-01 ByAmount Pass - Mencari transaksi menggunakan amount berhasil"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:20,13-05-2026 16:26:20,0.002s,PASSED
,,,,,,,
Test Cases/Web/FindTransfer/TC-FTR_02 ByDate,Chrome 147.0.7727.138,,,13-05-2026 16:26:20,13-05-2026 16:26:31,11.228s,PASSED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:26:20,13-05-2026 16:26:26,5.613s,PASSED
